documento,nombre,grupo,profesor
633221,Rosalia Meléndez Borrego,6C,Profe Carlos
918424,Juan Carlos Dolores Peralta,7B,Profe Ana
232274,Clara Adame,6A,Profe Ana
270462,Isabel Apodaca Calvillo,6B,Profe Juan
253521,María José Luis Manuel Fernández,6C,Profe Carlos
793429,Ana María Badillo,6A,Profe Juan
259066,María Teresa Bustamante Cervantes,6C,Profe Ana
800815,Jorge Quiñónez Fonseca,7C,Profe Juan
956589,Eugenio Luis Manuel Mondragón,6B,Profe Juan
804208,Augusto Zeferino Aguirre,6B,Profe Juan
405854,Yolanda Karla Montaño Girón,7A,Profe Carlos
954224,Ana Luisa Urbina Barragán,7B,Profe Laura
215687,Graciela Eugenio Castillo,7A,Profe Carlos
684408,Salma Tórrez Irizarry,7A,Profe Laura
541316,Mtro. José Eduardo Cedillo,6C,Profe Juan
987622,Aldo Zavala,7A,Profe Ana
403383,Humberto Abelardo Montez Santillán,7A,Profe Laura
895713,Vicente Lozano Bétancourt,6B,Profe Carlos
496909,Santiago Irma Rael,7B,Profe Ana
209700,Ing. Elvia Ozuna,7A,Profe Juan
765746,Elisa Flórez Muñiz,6A,Profe Laura
548131,Gloria Uribe,7B,Profe Ana
671135,Julia Aldonza Hurtado,6A,Profe Juan
864119,Socorro Cuellar Espinoza,7B,Profe Ana
483275,Benito Celia Zedillo,7A,Profe Laura
206320,Carlos Antonia Muro Báez,7B,Profe Carlos
367230,Catalina Flavio Partida Caballero,7A,Profe Carlos
751247,Norma Perla Casares Téllez,6C,Profe Ana
226828,Gonzalo Teodoro Manzanares Quiñónez,7B,Profe Ana
346391,Aurelio Carreón Campos,7C,Profe Ana
904624,Julia Muñoz,7C,Profe Ana
806832,César Julia Abrego,6A,Profe Carlos
535535,Evelio Abigail Perales,7A,Profe Laura
235939,Delia Tello Jaramillo,6A,Profe Laura
541767,Julio Hilda Barragán,7B,Profe Ana
124984,Rebeca Orta Jáquez,6B,Profe Laura
696034,Teodoro Tórrez Escobedo,6A,Profe Juan
425407,Rubén Pascual Mireles Altamirano,7B,Profe Carlos
797913,Homero Gloria Feliciano,6B,Profe Juan
547716,Miriam Amalia Pichardo,6B,Profe Juan
168851,David Yeni Arreola,6C,Profe Laura
676590,Andrea Marisol Véliz,7B,Profe Laura
299040,Rebeca Puente,6B,Profe Carlos
845685,Mtro. Antonio Gálvez,7B,Profe Ana
194047,Alma Téllez,7A,Profe Laura
426588,Emilio Aranda Cortés,7B,Profe Ana
996858,Sr(a). Amador Patiño,7B,Profe Juan
935895,Sergio Olivo,7A,Profe Carlos
449971,Trinidad Víctor Palacios,6A,Profe Juan
549456,Asunción Armas Gálvez,6B,Profe Juan
259631,Virginia Rodolfo Madrid,7C,Profe Laura
482510,Lic. Frida Limón,7B,Profe Ana
530937,Oswaldo Óliver Ulloa,6A,Profe Ana
196074,Roberto Zayas Colón,6C,Profe Laura
644991,Ing. Benito Rendón,6A,Profe Ana
787075,Socorro Pedro Roque,6C,Profe Laura
130881,Gustavo Martha Niño Linares,7B,Profe Carlos
973985,Ing. Rodrigo Mireles,7C,Profe Ana
308333,Alfredo José Luis Ávila,6C,Profe Carlos
714389,Mitzy Nieves Pérez,7C,Profe Carlos
795518,Bernardo Víctor Beltrán,7C,Profe Juan
342775,Lic. Celia Santillán,6A,Profe Juan
812644,Micaela Sotelo Gómez,7C,Profe Juan
757599,Lic. Israel Mascareñas,7A,Profe Laura
734096,Violeta Jaramillo,6A,Profe Ana
454253,Diana Gollum,6C,Profe Juan
207074,Noemí Colón Negrete,7A,Profe Juan
142488,Concepción Violeta de la Fuente,7C,Profe Juan
818759,Diego Valdez,6A,Profe Laura
361121,Dr. Mercedes Sanches,6C,Profe Carlos
801085,Mariano Cortés Lebrón,6A,Profe Carlos
467192,Lic. Espartaco Barrera,6A,Profe Juan
547612,Leonardo Matos,7C,Profe Ana
149577,Lorena Bueno,6B,Profe Juan
443213,Marisol Alcaraz,6C,Profe Juan
217075,Jesús Nava Mayorga,7C,Profe Ana
916118,Pascual Zacarías Valenzuela,6B,Profe Juan
599231,Mtro. Wendolin González,7B,Profe Juan
134247,Carmen Úrsula Rangel,7A,Profe Juan
312161,Luis Miguel Alcaraz,6A,Profe Juan
465102,Gabriel Jonás Tovar,6B,Profe Ana
425855,Javier Flórez Arreola,6C,Profe Juan
223837,Dr. Noemí Alarcón,6A,Profe Juan
729088,Noelia Peres,7A,Profe Laura
519105,Andrea Escobedo,7A,Profe Laura
292362,Estela Isaac Pedroza Sáenz,6B,Profe Carlos
222646,Antonia Muñoz,6A,Profe Laura
634425,Benjamín Estévez,7A,Profe Laura
369651,Carla Negrete del Río,7C,Profe Carlos
299251,Andrés Pichardo Rangel,6A,Profe Ana
865870,Marisol Arevalo,7B,Profe Ana
534752,Barbara Luna Sarabia,7B,Profe Laura
511648,Isabela Nazario,6B,Profe Juan
466136,Isabela Zelaya Escalante,7B,Profe Laura
226975,María Orosco Sanches,7A,Profe Carlos
436960,Emilia Llamas Mata,6C,Profe Carlos
837073,Cornelio Indira Zedillo Rodríquez,7A,Profe Laura
478219,Oswaldo Aldo Rodríguez,6A,Profe Carlos
979100,Emilio Isabel Guajardo,7A,Profe Juan
834257,Porfirio García,6A,Profe Juan
990044,Dalia Elsa Rivas Rosario,7B,Profe Laura
927218,Martín Socorro Ramón Rivas,6A,Profe Ana
946718,Marco Antonio Guadalupe Bétancourt Orta,6B,Profe Ana
588623,Santiago Medina Olivas,6A,Profe Ana
693734,Ing. Olga Ceballos,6B,Profe Juan
344473,Cynthia Peña Saucedo,6A,Profe Laura
565720,Mtro. Samuel Gollum,7C,Profe Juan
914823,Delia Nicolás Granados Perales,7A,Profe Ana
947251,Rodolfo Olmos Trujillo,7C,Profe Carlos
166246,Martha Susana Cervántez de la Garza,7C,Profe Ana
461015,Dr. Clara Maestas,6B,Profe Ana
536158,Cynthia María Elena Jasso,7B,Profe Laura
746815,Sara Elsa Lucio,6B,Profe Carlos
300560,Ing. Amador Mares,7C,Profe Ana
905191,Santiago Marisol Alvarez,7C,Profe Ana
289694,Isabela Silvia Cuellar,6B,Profe Ana
441611,Benito Guerrero Arguello,7C,Profe Juan
464306,Armando Delia Riojas,7C,Profe Laura
556264,Barbara Pilar Soria,7C,Profe Juan
153188,Dr. Vanesa Canales,6A,Profe Juan
534582,Eva Zacarías Maldonado,6B,Profe Juan
279124,Carolina Verdugo,6A,Profe Ana
486706,Agustín Saavedra,6A,Profe Juan
426016,Magdalena Zaragoza,6B,Profe Laura
267483,Dr. Elisa Girón,6A,Profe Ana
413905,Natalia Concepción,7C,Profe Carlos
812489,Dr. Cristobal Tamayo,6B,Profe Juan
276860,Modesto Caridad Cabrera,7C,Profe Laura
417351,Adriana Modesto Palacios,6C,Profe Juan
342538,Dr. Silvano Preciado,6A,Profe Laura
852936,Gabriel Heredia Valenzuela,6A,Profe Ana
411507,Eugenio Cornelio Flores Espinal,6A,Profe Juan
109281,Lucas Serna Madrid,6A,Profe Juan
611994,Dulce María Rivero Medrano,7A,Profe Carlos
629275,Marco Antonio Tovar Marín,6B,Profe Ana
200501,Teodoro Alva,7A,Profe Laura
248293,Israel Carolina Quintana Robles,7B,Profe Juan
992021,Camilo Miguel Ángel Rosado Montoya,6C,Profe Juan
490853,Esther Muñoz Hernández,6A,Profe Ana
380386,Ing. Aurelio Candelaria,7B,Profe Ana
109638,José Luis María del Carmen Ramos Ontiveros,7C,Profe Carlos
257895,Fabiola Diego Mercado,6A,Profe Juan
317041,Claudio Ulibarri,6A,Profe Juan
355696,José Emilio Ocasio,7A,Profe Ana
268806,Renato Josefina Ortega Téllez,6B,Profe Laura
836579,Uriel Adame,6C,Profe Ana
841182,Martín Espartaco Zamora,6C,Profe Ana
340721,Rufino Jaime Rael,7C,Profe Ana
945124,Mtro. Abelardo Robledo,7A,Profe Laura
453132,Yolanda Ayala,6A,Profe Carlos
348967,Francisco Javier Cepeda Juárez,6B,Profe Laura
291198,Dulce Crespo,7A,Profe Ana
353706,Dr. Débora Lebrón,7B,Profe Juan
921274,Pascual Rojo,6C,Profe Juan
159016,Ramón Perea,7B,Profe Laura
372258,Celia Antonio Gómez Quezada,7C,Profe Juan
780710,Aurelio Josefina de la Fuente Perales,7B,Profe Laura
391260,Pamela Rosales,6C,Profe Carlos
749219,Anabel Griego Cordero,6B,Profe Juan
586857,Estela Candelaria,7C,Profe Juan
642737,Alfredo Niño,7A,Profe Juan
986233,Elisa Estela Almonte,7B,Profe Juan
822057,Antonia Segovia Terrazas,6B,Profe Laura
628622,Pablo Salgado,7A,Profe Laura
405199,Irma Julio César Farías,6B,Profe Carlos
641463,Dr. Elisa Aragón,7A,Profe Juan
795924,Dr. Socorro Luna,7B,Profe Juan
393223,Gonzalo Chapa,7A,Profe Laura
665043,Inés Castro,7A,Profe Laura
359274,Araceli José Emilio Gonzales,7C,Profe Juan
482487,Sergio Quezada Badillo,6A,Profe Ana
847014,José Eduardo Vallejo Arguello,6B,Profe Ana
779610,Lic. Ivonne Caraballo,6A,Profe Carlos
279602,Hernán Tomás Patiño,7B,Profe Juan
357905,Rolando Marín,7C,Profe Ana
312522,Mtro. Guillermina Rosales,6B,Profe Carlos
711859,Socorro Mercedes Negrete Saucedo,6B,Profe Ana
712780,Cristobal María José Salgado Soria,6C,Profe Carlos
168079,Claudio Timoteo Puga,6A,Profe Laura
876340,Yeni Muro Orozco,7C,Profe Juan
813343,Trinidad Galarza,7C,Profe Juan
319352,Alberto Enrique Gil de la Torre,6B,Profe Ana
744144,Frida Fernando Puga,6A,Profe Ana
243444,Ing. Juana Ochoa,7C,Profe Laura
885036,Abigail Andrea Villarreal,6A,Profe Laura
840246,Dr. Yolanda Crespo,7C,Profe Laura
358863,Modesto Mondragón Miranda,6B,Profe Juan
313671,Leonel Valenzuela,6C,Profe Juan
167642,Mtro. Violeta Olivares,7B,Profe Ana
826706,René Luisa Delgado,7A,Profe Ana
443189,Jorge Omar Vergara,7B,Profe Carlos
711400,Dulce María Quesada Mondragón,6C,Profe Carlos
915088,Blanca Almanza,7B,Profe Carlos
621877,Sofía Báez Padilla,7A,Profe Laura
165729,Barbara César Meza,6B,Profe Juan
778863,Florencia Fabiola Espinal,7A,Profe Laura
888107,Margarita Agustín Arce,7B,Profe Carlos
173412,Dr. Mateo Mendoza,7B,Profe Ana
679504,Daniel Miriam Roque,6A,Profe Laura
709106,Dr. Camila Pichardo,6B,Profe Laura
214211,Andrea Montoya,6A,Profe Ana
988513,Claudio Raya Viera,7A,Profe Carlos
659301,Pilar Clara Haro,6C,Profe Carlos
333794,Daniel Arturo Jáquez,6B,Profe Carlos
904232,Mtro. Barbara Guardado,7B,Profe Laura
346401,Francisco Nieves Naranjo,7B,Profe Laura
221117,Noelia Hugo Alcaraz,7C,Profe Juan
942634,Gilberto Berríos Solís,6B,Profe Carlos
783166,Lic. Felipe Nazario,7A,Profe Carlos
992363,Martha Serafín Fuentes Valadez,6A,Profe Laura
558086,Alfonso Benavides,7C,Profe Juan
920371,Bianca Campos Rojas,7C,Profe Laura
509731,Octavio Olga Alarcón,6B,Profe Ana
676099,Javier Cristian Ceballos,7C,Profe Ana
832453,Dr. Silvia Venegas,7A,Profe Ana
772173,Francisco Javier Andrea Ramón Almanza,7C,Profe Laura
194327,Mónica Araceli Iglesias Partida,7A,Profe Ana
798064,Ivonne Casillas,6C,Profe Laura
232461,Yolanda Chavarría,6B,Profe Ana
921163,Ing. Rosario Mares,7A,Profe Ana
659126,Mtro. Miriam Velásquez,6A,Profe Juan
402875,Elvia Esparta Rentería,6B,Profe Laura
429883,Aurelio Rodríguez Guzmán,7B,Profe Carlos
567142,Eugenio Ordóñez,6B,Profe Carlos
424509,Omar Oswaldo León Urbina,6B,Profe Ana
720184,Sr(a). Óliver Cardenas,6B,Profe Ana
560593,Clara Mauro Porras,6B,Profe Juan
245503,Carlos Lara,6A,Profe Laura
246888,Arturo Berta Viera,7A,Profe Laura
395225,Citlali Ignacio Quesada Lucero,7B,Profe Carlos
182830,Raquel Ana Sosa,6A,Profe Laura
512441,Luz Susana Aragón Iglesias,7B,Profe Carlos
985399,Guadalupe María Teresa Toro,7A,Profe Carlos
325778,Angélica Fuentes,7A,Profe Laura
328468,Nelly Helena Ceja,7B,Profe Laura
428802,Gloria Ariadna Páez,6B,Profe Carlos
473808,Lourdes Marisol Covarrubias,6A,Profe Ana
108165,Nadia Serafín Aguilar Garibay,6C,Profe Juan
559336,David Lucio,7A,Profe Laura
427379,Anabel Eugenio Quintanilla Gastélum,7A,Profe Juan
100123,José Lozada Collado,7C,Profe Laura
543861,Sr(a). Eloisa Rico,6A,Profe Ana
970236,Agustín Pedro Cordero,6A,Profe Juan
228899,Diego Perla Ulibarri,7C,Profe Carlos
660150,Sr(a). Ana María Bustamante,7B,Profe Ana
353971,Mauro Soto,6A,Profe Carlos
636663,Dulce Lucía Ruiz Cabrera,6C,Profe Laura
125975,Mtro. Eric Olivera,6A,Profe Ana
729659,Natalia Reynaldo Almaraz Tello,6A,Profe Carlos
290579,Elvira Guillermo Domínguez,6C,Profe Ana
623803,Karina Chávez Martínez,6A,Profe Juan
739547,Pablo Rico,7B,Profe Carlos
854363,Claudia Bruno Gastélum Viera,6A,Profe Laura
594704,Antonio Emilia Nieto Altamirano,6B,Profe Laura
313064,Modesto Virginia Paredes Aranda,6C,Profe Juan
901890,Lic. María Elena Garibay,6C,Profe Carlos
316629,Carla Vanegas,6B,Profe Ana
678458,Lic. Javier Cano,6A,Profe Ana
785533,Elvia Alvaro Gaona,6C,Profe Carlos
650817,Dr. Débora Holguín,6A,Profe Juan
532421,Victoria Zoé Escobar Viera,7A,Profe Ana
208055,Hugo Valdivia Hurtado,6A,Profe Carlos
556209,Adela Mena Orosco,7B,Profe Juan
526644,Mtro. Rebeca Marín,6C,Profe Laura
590272,Julia Corral,7C,Profe Juan
876422,Aurelio Magdalena Brito,7C,Profe Carlos
480666,Ana Abigail Palomo,6A,Profe Laura
282131,Sr(a). Estela Marín,7A,Profe Carlos
795183,Rolando Gabriela Vásquez Curiel,7B,Profe Juan
423303,Dr. Nicolás Romero,6C,Profe Carlos
996415,Sr(a). Hermelinda Loera,7B,Profe Juan
397956,Alta  Gracia Barela,7C,Profe Carlos
666677,Jorge Briones Huerta,6C,Profe Ana
175765,Dr. Alvaro Tejada,6B,Profe Carlos
632763,Lic. Norma Armendáriz,6C,Profe Ana
233546,Gabino Israel Treviño Pelayo,7B,Profe Laura
385645,Dr. Porfirio Espinal,6A,Profe Laura
931221,Reynaldo María José Partida,7A,Profe Laura
357844,Darío Jimínez Pelayo,7A,Profe Juan
747830,Amelia Mireles,7A,Profe Laura
398499,Sr(a). Elvia Rosales,7B,Profe Laura
240952,Jonás José Eduardo Mejía Urbina,7C,Profe Ana
481794,Sr(a). Camilo Vigil,7B,Profe Juan
286899,Florencia Elias Sepúlveda Mesa,6A,Profe Ana
799145,Mariana Gonzalo Toledo,6A,Profe Carlos
886447,Ing. Espartaco Mejía,7A,Profe Laura
820869,Sessa Montero,7A,Profe Laura
871185,Jonás Salcido,6C,Profe Carlos
612369,Rodrigo Campos Ojeda,7B,Profe Juan
681425,Óscar Guillermo Salcido,7A,Profe Juan
171987,Gonzalo Caridad Castellanos Díaz,7A,Profe Juan
617817,Claudio Zacarías Muro Barrientos,7B,Profe Laura
761371,Jonás Araceli Quesada,6B,Profe Laura
216112,Ana Quiñónez,6A,Profe Laura
833366,Noelia Evelio Balderas,6B,Profe Juan
324151,Dr. Diego Arredondo,6A,Profe Laura
776553,Pascual Cotto Casanova,7C,Profe Laura
357578,Alejandro Pablo Gollum Romo,7C,Profe Ana
948122,Jaime Enríquez,6C,Profe Laura
437456,Clara Portillo Granado,7B,Profe Carlos
643784,Georgina Barragán Tello,6A,Profe Ana
170317,Pedro Bueno Montoya,7A,Profe Laura
261819,Ofelia Parra,7B,Profe Laura
576238,Amelia Gil Barraza,6C,Profe Ana
759871,Aida Julio Esparza,6C,Profe Ana
319435,Sr(a). Gustavo Zaragoza,7A,Profe Juan
157211,Mayte Tirado,6C,Profe Ana
581765,Hugo Caballero,7C,Profe Laura
239117,Mercedes Gollum,6B,Profe Juan
216278,Lic. Jerónimo Sánchez,6B,Profe Ana
312674,Itzel Mora,7B,Profe Juan
239819,Benjamín Timoteo Bañuelos Olivárez,7A,Profe Laura
879995,Martha Solano Jurado,7B,Profe Laura
663905,Ilse Mitzy Valles Benítez,7B,Profe Juan
681347,Alta  Gracia Dulce María Pelayo Palomo,7C,Profe Carlos
874337,María del Carmen Solorzano,7A,Profe Juan
396157,José Emilio Nancy Roybal Gastélum,7A,Profe Juan
706192,Iván Ocasio,6A,Profe Laura
184570,Ignacio Eva Fierro Benítez,6C,Profe Juan
322119,Mtro. René Ponce,6B,Profe Carlos
859286,Mateo Enríquez Ramos,6C,Profe Ana
448623,Abelardo Regalado Arredondo,7C,Profe Carlos
422688,Leonel Sevilla Chacón,7A,Profe Ana
442076,Gilberto Teresa Cervantes,6B,Profe Laura
790698,Cornelio Vanegas Batista,7B,Profe Juan
477300,Noemí Elisa Ojeda Salcido,7A,Profe Ana
424062,Omar Arturo Loya,7C,Profe Carlos
987450,Clara José Manuél Jurado Véliz,7A,Profe Carlos
967046,Beatriz Casillas Garica,6C,Profe Juan
750534,Ana Godoy,7C,Profe Carlos
234827,Uriel Barragán,6A,Profe Ana
947961,Luis Miguel Caridad Longoria Ayala,7C,Profe Juan
112237,Dr. Débora Monroy,7A,Profe Juan
797249,Mtro. José Luis Moya,7B,Profe Juan
706254,Lucía Sofía Robledo Jaramillo,7A,Profe Laura
643305,Aida Piña Lucio,7A,Profe Carlos
152189,Yolanda Flavio Pérez,7A,Profe Laura
267215,Jacobo José María Centeno Chávez,7B,Profe Juan
278995,Mtro. Horacio Espinal,7A,Profe Ana
975961,María del Carmen Suárez,6A,Profe Ana
367183,Ing. Sonia Sevilla,7C,Profe Laura
474537,Josefina Olga Guardado Ávila,7B,Profe Ana
877468,Zoé Aida Delgado Reyes,6A,Profe Laura
145966,Trinidad Alta  Gracia Barreto,6C,Profe Ana
965748,Emiliano Esparta Rentería,6A,Profe Carlos
268114,Esther Tello Santana,7C,Profe Laura
142782,Salvador Sierra Cedillo,6B,Profe Laura
279805,Laura Villarreal Garibay,6C,Profe Juan
742281,Miriam Dulce María Aranda,7C,Profe Ana
177799,Teodoro Negrón,7B,Profe Carlos
984026,Aurelio Virginia Valle,7B,Profe Carlos
891556,Lorena Navarro,6C,Profe Laura
452372,Sr(a). Ana María Almanza,7B,Profe Juan
770775,Mtro. Ramón Terán,7B,Profe Carlos
802895,Gabriela Aragón,6C,Profe Laura
600361,Ing. Itzel Olivas,7C,Profe Ana
867723,Ignacio Narváez Guajardo,7C,Profe Carlos
573659,Pedro José Carlos Castro Angulo,7C,Profe Juan
529516,Delia Quiroz Aguirre,7B,Profe Ana
599697,Tania Serna,6A,Profe Ana
272819,Susana Orozco,7B,Profe Ana
717777,Sessa Martín Tejeda Naranjo,6C,Profe Laura
925029,José Emilio Sara Lozano Suárez,7C,Profe Juan
439956,Mtro. Octavio Laureano,7C,Profe Juan
896669,Elsa Valle,7B,Profe Juan
266626,Ing. Alta  Gracia Escalante,6B,Profe Carlos
813810,Beatriz Sergio Romero Lara,6C,Profe Carlos
987492,Héctor Medina Vela,7C,Profe Carlos
208156,Sergio Cristobal Terán Lemus,7C,Profe Juan
971963,Abigail Martín Huerta Barela,7C,Profe Ana
678125,Clemente Lucas Badillo Arenas,7C,Profe Ana
876424,Lic. Virginia Briseño,6B,Profe Juan
653577,Mtro. Dalia Cervantes,7A,Profe Carlos
701210,Flavio Martín Botello,7A,Profe Juan
828224,Adriana Abelardo Rojas Meléndez,6A,Profe Ana
613556,Rodolfo Ramón Zamora,7B,Profe Juan
325664,Evelio Isaac Barrios Lovato,7C,Profe Juan
724217,Lucas Girón,7B,Profe Carlos
376632,Benito José Emilio Sandoval,6C,Profe Ana
378640,Ruby Gloria Gastélum Matías,6C,Profe Ana
189792,Maximiliano Berta Macías,6C,Profe Juan
251548,Rodolfo Padilla Berríos,6B,Profe Carlos
613470,Trinidad Gurule Rodríguez,7A,Profe Juan
493506,Antonia Espinal Vanegas,7C,Profe Juan
407035,Karina Angélica Ulibarri Fierro,7A,Profe Juan
499873,Mercedes Vera,6C,Profe Juan
883871,Estefanía Polanco,6B,Profe Juan
982494,Marco Antonio Mateo Benavídez Orozco,6B,Profe Ana
603905,Estefanía Carmen Quiñónez Sandoval,7A,Profe Ana
591363,Lic. Helena Aguayo,7C,Profe Ana
581012,Ing. Noelia Loera,6B,Profe Ana
611726,Sr(a). Isabela Ocasio,7A,Profe Ana
173983,Mtro. Alejandro Ávalos,6C,Profe Ana
124965,Horacio Guevara Fierro,6A,Profe Juan
658214,Clemente Zúñiga Santana,6C,Profe Ana
156920,Marisol Susana Briseño,7A,Profe Juan
583109,Blanca Caridad Negrón Quintana,6B,Profe Juan
281997,Antonio Gonzales Aragón,7A,Profe Juan
872800,David Abigail Jiménez Carrión,6A,Profe Carlos
301605,Angélica Guadalupe Salinas Cabán,6B,Profe Juan
212832,Yolanda Salvador Mesa,7A,Profe Ana
896292,Marisol Pulido,6A,Profe Laura
308760,Gustavo Carrero Granados,6B,Profe Laura
740900,Gloria Antonio Cintrón,6B,Profe Juan
766759,Luisa Núñez Pineda,6A,Profe Ana
968250,Manuel Graciela Nieto,7B,Profe Juan
520322,Mtro. Rocío Flórez,7C,Profe Carlos
908829,Dulce María Rincón,7A,Profe Laura
896963,Judith Humberto Merino Baeza,6A,Profe Laura
510363,Yuridia Rosalia Jurado Holguín,6A,Profe Carlos
516140,Dr. Felipe Carrión,7B,Profe Juan
506581,Citlali Tejeda Guzmán,7A,Profe Juan
276202,Jacinto Villareal,7B,Profe Laura
338794,Jacinto Irizarry,7C,Profe Ana
620805,Espartaco Marisol Miranda Rojas,7B,Profe Laura
945149,Sr(a). Gabriela Casárez,6B,Profe Carlos
794446,Dr. Olivia Yáñez,7A,Profe Carlos
346571,Ricardo Dueñas Godínez,7A,Profe Laura
341099,Antonio Rosales,7C,Profe Ana
113091,Ing. Pablo Raya,7B,Profe Carlos
854487,Clara Yeni Hidalgo Tovar,7C,Profe Laura
152174,Joaquín Felipe Mejía Abrego,6C,Profe Ana
532524,Susana Gerónimo Noriega Gamboa,7B,Profe Ana
621098,Reynaldo Ledesma Colón,6B,Profe Carlos
249452,Caridad Blanca Pizarro Rosas,6B,Profe Juan
835675,Ing. Humberto de Jesús,6C,Profe Carlos
776838,Ramón Esperanza Rojo,6C,Profe Ana
737877,Ricardo Alcala Gamboa,6B,Profe Laura
981784,Lic. María Elena Montemayor,6C,Profe Ana
130581,Margarita Antonio Lugo,7C,Profe Carlos
237743,Ing. Irma Patiño,6A,Profe Juan
845747,Lorena Claudio Guillen,7A,Profe Laura
383833,Abril Mayorga Tamez,7A,Profe Ana
